Name,Occupation,URL
David Ridgway,Chef sommelier,https://www.whoswho.fr/bio/david-ridgway_22145
Michel Santé,Sommelier,https://www.whoswho.fr/bio/michel-sante_22146
Roland Blum,"Avocat, Homme politique",https://www.whoswho.fr/bio/roland-blum_22156
Pierre Paillardon,"Consultant international en vin, Président de société",https://www.whoswho.fr/bio/pierre-paillardon_22153
Jeannie Longo,"Sportive, Coureur cycliste",https://www.whoswho.fr/bio/jeannie-longo_22159
Michel Roussin,"Préfet, Homme politique, Président de société",https://www.whoswho.fr/bio/michel-roussin_22154
Gérard Garouste,"Artiste peintre, Sculpteur, Membre de l'Institut",https://www.whoswho.fr/bio/gerard-garouste_22166
Léo Lacroix,"Sportif, Directeur de société",https://www.whoswho.fr/bio/leo-lacroix_22167
Parvine Curie,Sculpteur,https://www.whoswho.fr/bio/parvine-curie_22173
Jacques Cachemire,"Conseiller pédagogique, Sportif",https://www.whoswho.fr/bio/jacques-cachemire_707
Pierre Zarka,"Cadre, Homme politique",https://www.whoswho.fr/bio/pierre-zarka_383
Françoise Fabian,Artiste dramatique,https://www.whoswho.fr/bio/francoise-fabian_5
Christian Babusiaux,Président de chambre honoraire à la Cour des comptes,https://www.whoswho.fr/bio/christian-babusiaux_220
Jacques Bompard,"Chirurgien-dentiste, Homme politique",https://www.whoswho.fr/bio/jacques-bompard_22180
Pierre Sabatier,Universitaire,https://www.whoswho.fr/bio/pierre-sabatier_116
Christian Jaccard,"Peintre, Plasticien",https://www.whoswho.fr/bio/christian-jaccard_33
Jean Godfroid,Préfet,https://www.whoswho.fr/bio/jean-godfroid_22175
Henri Kagan,"Ingénieur, Universitaire, Membre de l´Institut",https://www.whoswho.fr/bio/henri-kagan_59
Denise Fabre,Présentatrice de télévision,https://www.whoswho.fr/bio/denise-fabre_103
Jean Cacharel,"Couturier, Homme politique",https://www.whoswho.fr/bio/jean-cacharel_684
Gérard Xuriguera,Historien d´art,https://www.whoswho.fr/bio/gerard-xuriguera_72
Michel Oliver,"Restaurateur, Producteur de télévision",https://www.whoswho.fr/bio/michel-oliver_696
Robert Baconnier,Administrateur de sociétés,https://www.whoswho.fr/bio/robert-baconnier_455
Jean-Pierre Wallez,"Violoniste, Chef d´orchestre",https://www.whoswho.fr/bio/jean-pierre-wallez_680
Geneviève Page,Artiste dramatique,https://www.whoswho.fr/bio/genevieve-page_209
Jean-Charles Naouri,Président de société,https://www.whoswho.fr/bio/jean-charles-naouri_419
Claude Kahn,Pianiste,https://www.whoswho.fr/bio/claude-kahn_156
Jean-François Bach,"Médecin, Universitaire, Membre de l´Institut",https://www.whoswho.fr/bio/jean-francois-bach_339
Bernard Jacotot,"Médecin, Universitaire",https://www.whoswho.fr/bio/bernard-jacotot_462
Jean-Charles de Yturbe,Publicitaire,https://www.whoswho.fr/bio/jean-charles-de-yturbe_382
Olivier Roussel,Administrateur de sociétés,https://www.whoswho.fr/bio/olivier-roussel_306
Michel Rousset,Universitaire,https://www.whoswho.fr/bio/michel-rousset_653
Luc Guinefort,Economiste,https://www.whoswho.fr/bio/luc-guinefort_22198
Jean-Charles Tacchella,"Auteur, Metteur en scène",https://www.whoswho.fr/bio/jean-charles-tacchella_284
Gérard-François Dumont,"Géographe, Démographe, Economiste",https://www.whoswho.fr/bio/gerard-francois-dumont_22182
Robert Badinter,"Avocat, Universitaire, Homme politique",https://www.whoswho.fr/bio/robert-badinter_775
Marc Vigier,Editeur,https://www.whoswho.fr/bio/marc-vigier_262
Thierry Saussez,"Conseil en communication, Président de société",https://www.whoswho.fr/bio/thierry-saussez_22188
Patrick Wajsman,"Universitaire, Editorialiste, Conseiller littéraire",https://www.whoswho.fr/bio/patrick-wajsman_381
Emile Quinet,"Ingénieur général (E.R.) des ponts et chaussées, Economiste",https://www.whoswho.fr/bio/emile-quinet_675
Charles Urbain,Administrateur de sociétés,https://www.whoswho.fr/bio/charles-urbain_379
Jean-Pierre Abelin,Homme politique,https://www.whoswho.fr/bio/jean-pierre-abelin_338
Laurent Fabius,"Membre du Conseil d'Etat (E.R.), Homme politique, Président du Conseil constitutionnel",https://www.whoswho.fr/bio/laurent-fabius_54
Thierry Lataste,Préfet,https://www.whoswho.fr/bio/thierry-lataste_22191
Plantu,Dessinateur,https://www.whoswho.fr/bio/plantu_22201
Bertrand Lavier,Artiste peintre,https://www.whoswho.fr/bio/bertrand-lavier_22206
Bernard Irion,"Ingénieur, Administrateur de sociétés",https://www.whoswho.fr/bio/bernard-irion_804
